id,project,status,target_completion_date,highway_transit_line,estimated_total_budget,latitude,longitude,category,supporting_ministry,community,description,result,area,region,address,postal_code,municipal_funding,provincial_funding,federal_funding,other_funding,website
1666,Affordable Housing on Old Bronte Road,Complete,2018-10-01,,900000,43.4348,-79.7743,Communities,Municipal Affairs and Housing,Oakville,6 units geared towards  families with low income,Apartments with 1 bedroom geared towards families with low income,Halton,Central,2086 Old Bronte Road,L6M 4J2,,Yes,Yes,Yes,
1667,Affordable Housing on Old Bronte Road,Complete,2017-09-01,,1650000,43.4348,-79.7743,Communities,Municipal Affairs and Housing,Oakville,11 units geared towards  families with low income,Apartments with 1 bedroom geared towards families with low income,Halton,Central,2490 Old Bronte Road,L6M 4J2,,Yes,Yes,Yes,
1668,Affordable Housing on Sedgewick Crescent,Complete,2018-04-01,,4200000,43.4148,-79.6973,Communities,Municipal Affairs and Housing,Oakville,28 units geared towards  seniors,Apartments with 1 bedroom geared towards seniors,Halton,Central,1285 Sedgewick Crescent,L6L 1X7,,,Yes,,
1669,Affordable Housing on Hill Street,Complete,2017-09-01,,500000,48.430969,-89.726349,Communities,Municipal Affairs and Housing,Oliver Paipoonge,4 units geared towards  seniors,Apartments with 1 bedroom geared towards seniors,Thunder Bay,Northwest,14 Hill Street,P0T 1W0,Yes,Yes,Yes,Yes,
1670,Affordable Housing on Hill Street,Complete,2018-11-01,,798000,48.430969,-89.726349,Communities,Municipal Affairs and Housing,Oliver Paipoonge,6 units geared towards  seniors,Apartments with 1 bedroom geared towards seniors,Thunder Bay,Northwest,10 Hill Street,P0T 1W0,,Yes,Yes,,
1671,Affordable Housing on Lawrence Avenue,Complete,2018-08-01,,1000000,43.90979,-80.09958,Communities,Municipal Affairs and Housing,Orangeville,7 units geared towards  families with low income,Apartments with 2 bedroom geared towards families with low income,Dufferin,Central,54 Lawrence Avenue,L9W 7P4,Yes,Yes,Yes,,
1672,Affordable Housing on Lawrence Avenue,Complete,2018-08-01,,1038825,43.90979,-80.099579,Communities,Municipal Affairs and Housing,Orangeville,7 units geared towards  seniors,Apartments with 1 bedroom geared towards seniors,Dufferin,Central,54 Lawrence Avenue,L9W 7P4,Yes,,Yes,Yes,
1673,Affordable housing on Ritson Road,Complete,2017-02-01,,5700000,43.89718,-78.84279,Communities,Municipal Affairs and Housing,Oshawa,50 units geared towards persons with disabilities and low income,Apartments  with  1 bedroom  units geared towards persons with disabilities and low income,Durham,Central,1658 Ritson Road North,L1H6A3,Yes,Yes,Yes,Yes,
1674,Affordable Housing on Ritson Road,Complete,2017-02-01,,198000,43.935829,-78.86937,Communities,Municipal Affairs and Housing,Oshawa,2 units geared towards  seniors,Apartments with 1 bedroom geared towards seniors,Durham,Central,1658 Ritson Road,L1H 7K5,,Yes,,,
1675,"Affordable Housing on Ritson Road, North",Complete,2016-10-01,,800000,43.899771,-78.844301,Communities,Municipal Affairs and Housing,Oshawa,10 units geared towards  seniors,Apartments with 1 bedroom geared towards seniors,Durham,Central,1658 Ritson Road North,L1H 6A3,,Yes,Yes,,
1676,Affordable Housing,Complete,2015-11-01,,2400000,43.893177,-78.871669,Communities,Municipal Affairs and Housing,Oshawa,16 units geared towards indigenous low income families at 109 Park Road South,"Apartments with 1, 2 bedroom/unit geared towards indigenous low income families",Durham,Central,109 Park Road South,L1J4G7,,Yes,Yes,Yes,
1677,Affordable Housing,Complete,2018-12-01,,692000,43.894676,-78.861821,Communities,Municipal Affairs and Housing,Oshawa,5 units geared towards homeless at 121 Simcoe Street,"Apartments with bachelor, 1 bedroom/unit geared towards homeless",Durham,Central,121 Simcoe Street,L1H4G7,,Yes,Yes,Yes,
1678,Affordable housing on Den Haag Drive,Complete,2014-09-01,,8233395,45.443657,-75.635068,Communities,Municipal Affairs and Housing,Ottawa,New rental apartment building and townhouses,"74 housing units in an 8-storey apartment building (1-3 bedrooms), plus ten 4-bedroom townhouses for those with low income, disability and at risk of homelessness",Ottawa,East,140 Den Haag Dr,K1K 1V1,Yes,Yes,Yes,Yes,
1679,Affordable housing on Eric Czapnik Way,Complete,2014-05-01,,2870000,45.48438,-75.502244,Communities,Municipal Affairs and Housing,Ottawa,1 and 2-bedroom apartments for people from Indigenous communities and those with low income,Wigwamen Incorporated owns/operates the 41 units (2 accessible) and partners with Minwaashin Lodge to provide services and programs,Ottawa,East,205 Eric Czapnik Way,K1C 0A2,,Yes,Yes,Yes,
1680,Affordable housing on Pullen Avenue,Complete,2014-11-01,,1470000,45.406466,-75.636301,Communities,Municipal Affairs and Housing,Ottawa,11 units geared towards persons with disabilities.,Apartments  with  bachelor units geared towards persons with disabilities.,Ottawa,East,1604 Pullen Avenue,K1G 0N7,Yes,Yes,Yes,Yes,
1681,Affordable housing on Clementine Boulevard,Complete,2016-11-01,,1851743,45.383096,-75.674338,Communities,Municipal Affairs and Housing,Ottawa,"6 units geared towards persons with disabilities,",Apartments  with  bachelor units geared towards persons with disabilities.,Ottawa,East,1486 Clementine Boulevard,K1H8E9,Yes,Yes,Yes,Yes,
1682,Affordable housing on St. Joseph Boulevard,Complete,2017-05-01,,4000000,45.462835,-75.542222,Communities,Municipal Affairs and Housing,Ottawa,36 units geared towards persons with disabilities.,Apartments  with  bachelor units geared towards persons with disabilities.,Ottawa,East,1900 St. Joseph Boulevard,K1C1E4,Yes,Yes,,Yes,
1683,Affordable housing on Via Verona Avenue,Complete,2017-07-01,,1847468,45.267832,-75.761743,Communities,Municipal Affairs and Housing,Ottawa,31 units geared towards persons with low income.,Apartments  with  1  2 and 3 bedroom  units geared towards persons with low income.,Ottawa,East,455 Via Verona Avenue North,K2J5X9,Yes,Yes,,Yes,
1684,Affordable housing on Michele Drive,Complete,2016-10-01,,650000,45.353476,-75.800756,Communities,Municipal Affairs and Housing,Ottawa,6 units geared towards persons with low income.,Apartments  with   4 bedroom and bachelor  units geared towards persons with low income.,Ottawa,East,2926 Michele Drive,K2B7P2,,,Yes,Yes,
1685,Affordable housing on Via Verona Avenue,Complete,2017-07-01,,4351000,45.282623,-75.746708,Communities,Municipal Affairs and Housing,Ottawa,41 units geared towards persons with low income.,Apartments  with  1  2 and 3 bedroom  units geared towards persons with low income.,Ottawa,East,455 Via Verona Avenue,K2J5X9,Yes,,Yes,Yes,
1686,Affordable housing on Merivale Road,Complete,2019-02-01,,4600000,45.383476,-75.73319,Communities,Municipal Affairs and Housing,Ottawa,42 units geared towards seniors.,Apartments  with  1 bedroom  units geared towards seniors.,Ottawa,East,42-900 Marivale Road North,K1Z5Z8,Yes,Yes,Yes,Yes,
1687,Affordable housing on Carruthers Avenue,Complete,2018-03-01,,3925000,45.408169,-75.729951,Communities,Municipal Affairs and Housing,Ottawa,36 units geared towards persons with low income.,Apartments  with  bachelor units geared towards persons with low income.,Ottawa,East,55-59 Carruthers Avenue North,K1Y1N3,,Yes,Yes,Yes,
1688,Affordable housing on Uplands Drive,Complete,2019-01-01,,2400000,45.35096,-75.67902,Communities,Municipal Affairs and Housing,Ottawa,16 units geared towards persons with disabilities and low income.,"Apartments  with  3,   4 bedroom  units geared towards persons with disabilities and low income.",Ottawa,East,3225 Uplands Drive,K1V9V2,,Yes,Yes,Yes,
1689,Affordable housing on Riverside Drive,Complete,2019-10-01,,4973425,45.370778,-75.689951,Communities,Municipal Affairs and Housing,Ottawa,39 units geared towards youth.,Apartments  with   2 bedroom and bachelor units geared towards youth.,Ottawa,East,2887 Riverside Drive,K1V8N4,Yes,Yes,Yes,Yes,
1690,Affordable housing on Gladstone Avenue,Complete,2022-09-01,,6541820,45.405532,-75.709231,Communities,Municipal Affairs and Housing,Ottawa,50 units geared towards persons with low income.,Apartments with bachelor and 2 bedroom units geared towards persons with low income.,Ottawa,East,811 Gladstone Avenue,K1R6Y1,Yes,Yes,Yes,Yes,
1691,Affordable housing on Colonial Road,Under construction,2024-01-01,,1800000,45.440071,-75.31276,Communities,Municipal Affairs and Housing,Ottawa,15 units geared towards seniors.,Apartments  with  1 and 2 bedroom  units geared towards seniors.,Ottawa,East,2980 Colonial Road,K0A3E0,Yes,Yes,Yes,Yes,
1692,Affordable housing on Cambridge Street,Complete,2019-11-01,,4331909,45.399564,-75.700037,Communities,Municipal Affairs and Housing,Ottawa,38 units geared towards persons with disabilities and seniors.,Apartments  with  1 bedroom  units geared towards persons with disabilities and seniors.,Ottawa,East,567 Cambridge Street South,K1S4J5,Yes,Yes,Yes,Yes,
1693,Affordable housing on Montreal Road,Complete,2019-05-01,,1800000,45.44388,-75.63819,Communities,Municipal Affairs and Housing,Ottawa,12 units geared towards people experiencing homelessness.,Apartments  with  bachelor units geared towards people experiencing homelessness.,Ottawa,East,765 Montreal Road,K1K0S9,Yes,,Yes,Yes,
1694,Affordable housing on Gladstone Avenue,Complete,2021-10-01,,4431405,45.40658,-75.7069,Communities,Municipal Affairs and Housing,Ottawa,36 units geared towards seniors.,Apartments  with  1 bedroom and bachelor units geared towards seniors.,Ottawa,East,811 Gladstone Avenue,K1R6Y1,Yes,,Yes,Yes,
1695,Affordable housing on Gardner Street,Complete,2015-12-01,,4000000,45.43204,-75.66504,Communities,Municipal Affairs and Housing,Ottawa,34 units geared towards people with low income,Apartments  with  bachelor units geared towards people with low income,Ottawa,East,318-322 Gardner Street,K1L7V7,Yes,Yes,Yes,Yes,
1696,Affordable Housing on Princeton Avenue,Complete,2018-10-01,,5300000,45.387276,-75.752513,Communities,Municipal Affairs and Housing,Ottawa,42 units geared towards  homeless,Apartments with Bachelor bedroom geared towards homeless,Ottawa,East,373 Princeton Avenue,K2A 4E1,Yes,Yes,Yes,,
1697,Affordable Housing on St. Joseph Boulevard,Complete,2017-05-01,,1239000,45.463124,-75.541633,Communities,Municipal Affairs and Housing,Ottawa,12 units geared towards  homeless,Apartments with Bachelor bedroom geared towards homeless,Ottawa,East,1900 St. Joseph Boulevard,K1C 7K4,Yes,,Yes,Yes,
1698,Affordable Housing,Complete,2022-06-01,,6069000,45.405934,-75.709035,Communities,Municipal Affairs and Housing,Ottawa,44 units geared towards families with low income at 811 Gladstone Avenue,"Apartments with 2, 3, 4 bedroom/unit geared towards families with low income",Ottawa,East,811 Gladstone Avenue,K1R6Y1,Yes,Yes,Yes,Yes,
1699,Affordable Housing,Complete,2019-10-01,,2400000,45.400559,-75.700037,Communities,Municipal Affairs and Housing,Ottawa,20 units geared towards seniors at 567 Cambridge Avenue South,"Apartments with 1, bachelor bedroom/unit geared towards seniors",Ottawa,East,567 Cambridge Avenue South,K1S4J5,,Yes,,Yes,
1700,Affordable Housing,Complete,2018-06-01,,450000,44.586636,-80.924112,Communities,Municipal Affairs and Housing,Owen Sound,4 units geared towards persons with disabilities at 2239 8th Avenue East,Apartments with 1 bedroom/unit geared towards persons with disabilities,Grey,Southwest,2239 8th Avenue East,N0N0N0,Yes,Yes,Yes,Yes,
1701,Affordable Housing,Complete,2018-06-01,,500000,44.58686,-80.923983,Communities,Municipal Affairs and Housing,Owen Sound,4 units geared towards persons with disabilities at 2239 8th Avenue East,Apartments with 1 bedroom/unit geared towards persons with disabilities,Grey,Southwest,2239 8th Avenue East,N4K0H4,Yes,Yes,Yes,Yes,
1702,Affordable Housing,Complete,2022-09-01,,1497995,44.567941,-80.915885,Communities,Municipal Affairs and Housing,Owen Sound,"10 units geared towards persons with disabilities,  families with low income at 2239 8th Street","Apartments with 1, 2 bedroom/unit geared towards persons with disabilities,  families with low income",Grey,Southwest,2239 8th Street,N4K0H4,Yes,Yes,Yes,Yes,
1703,Affordable Housing,Complete,2018-06-01,,847948,44.586116,-80.924154,Communities,Municipal Affairs and Housing,Owen Sound,"7 units geared towards persons with disabilities, families with low income at 2239 8th Avenue East","Apartments with 1, 2 bedroom/unit geared towards persons with disabilities, families with low income",Grey,Southwest,2239 8th Avenue East,N4K0H4,Yes,,Yes,Yes,
1704,Affordable Housing,Complete,2019-03-01,,880000,44.586116,-80.924154,Communities,Municipal Affairs and Housing,Owen Sound,"6 units geared towards persons with disabilities, families with low income at 2239 8th Avenue  East","Apartments with 1, 2 bedroom/unit geared towards persons with disabilities, families with low income",Grey,Southwest,2239 8th Avenue  East,N4K0H4,Yes,,Yes,Yes,
1705,Affordable Housing,Complete,2018-06-01,,752052,44.586208,-80.924112,Communities,Municipal Affairs and Housing,Owen Sound,7 units geared towards seniors at 2239 8th Avenue East,Apartments with 1 bedroom/unit geared towards seniors,Grey,Southwest,2239 8th Avenue East,N4K0H4,Yes,,Yes,Yes,
1706,Affordable housing on Gibson Street,Complete,2017-05-01,,700930,45.349028,-80.03539,Communities,Municipal Affairs and Housing,Parry Sound,10 units geared towards persons with low income.,Apartments  with  bachelor units geared towards persons with low income.,Parry Sound,Northeast,82 Gibson Street,P2A1X5,Yes,Yes,Yes,Yes,
1707,Affordable Housing on Elm Drive West,Complete,2015-11-01,,6000000,43.58909,-79.63325,Communities,Municipal Affairs and Housing,Peel,40 units geared towards  families with low income,Apartments with 1 bedroom geared towards families with low income,Peel,Central,33 Elm Drive West,L5B 4M2,Yes,Yes,Yes,,
1708,Affordable Housing on Brickstone Mews,Complete,2017-04-01,,1950000,43.5852,-79.6459,Communities,Municipal Affairs and Housing,Peel,13 units geared towards  families with low income,Apartments with 1 bedroom geared towards families with low income,Peel,Central,4011 Brickstone Mews Other,L5B 0J7,Yes,Yes,Yes,,
1709,Affordable Housing on Brickstone Mews,Complete,2017-08-01,,450000,43.5852,-79.6459,Communities,Municipal Affairs and Housing,Peel,3 units geared towards  families with low income,Apartments with 1 bedroom geared towards families with low income,Peel,Central,4011 Brickstone Mews Other,L5B 0J7,Yes,Yes,Yes,,
1710,"Affordable Housing on Harris Street, North",Complete,2018-06-01,,200000,44.90868,-76.25348,Communities,Municipal Affairs and Housing,Perth East,2 units geared towards  families with low income,Apartments with 2 bedroom geared towards families with low income,Perth,Southwest,36 Harris Street North,K7H 2X7,,Yes,Yes,Yes,
